,Pos,FG,FGA,FG_per,3P,3PA,3P_per,2P,2PA,2P_per,eFG_per,FT,FTA,FT_per,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
474,C,3.344262295081967,6.0983606557377055,1.078032786885244,0.2183606557377049,0.9836065573770492,0.222,3.2081311475409833,5.311475409836065,0.604,0.565,2.1655081967213112,3.1475409836065573,0.688,3.344262295081967,5.508196721311475,8.852459016393443,0.9836065573770492,1.3770491803278688,0.9836065573770492,0.7868852459016393,2.557377049180328,9.049180327868852
12449,SG,6.107142857142857,13.339285714285715,0.736071428571427,0.1677857142857143,0.48214285714285715,0.348,5.878446428571417,12.696428571428573,0.462999999999999,0.465,2.4820714285714285,2.892857142857143,0.858,0.6428571428571429,1.9285714285714286,2.410714285714286,4.339285714285714,1.2857142857142858,0.16071428571428573,2.410714285714286,4.178571428571429,14.946428571428573
9732,PG,6.576923076923076,14.53846153846154,1.581923076923077,1.2554999999999967,3.115384615384615,0.402999999999999,5.391692307692307,11.423076923076922,0.472,0.5,2.9596153846153843,3.4615384615384612,0.855,0.6923076923076923,1.3846153846153846,2.0769230769230766,4.846153846153846,2.0769230769230766,0.0,2.0769230769230766,2.769230769230769,17.653846153846153
3599,PF,8.816326530612246,17.002915451895042,0.5426239067055395,0.9486997084548082,2.41399416909621,0.392999999999999,7.792373177842553,14.483965014577262,0.537999999999999,0.545,5.710880466472304,6.402332361516035,0.892,0.7346938775510204,6.612244897959184,7.346938775510204,2.7288629737609336,0.5247813411078718,0.629737609329446,1.9941690962099126,2.518950437317784,24.1399416909621
1680,SG,9.0,18.95294117647059,0.5050588235294118,2.2783764705882352,6.141176470588235,0.371,6.764611764705882,12.811764705882352,0.528,0.537,4.1454,5.188235294117647,0.799,0.6352941176470588,4.870588235294117,5.505882352941177,4.552941176470588,2.541176470588235,0.8470588235294118,3.0705882352941174,2.4352941176470586,24.458823529411767
5827,PG,4.560646900269542,12.032345013477089,0.36388140161725063,2.289541778975741,6.307277628032344,0.363,2.264797843665768,5.82210242587601,0.389,0.47,1.566921832884097,2.1347708894878705,0.734,0.3881401617250674,3.0080862533692723,3.2991913746630726,5.2398921832884096,1.5525606469002695,0.09703504043126684,2.0377358490566038,2.328840970350404,12.90566037735849
5294,PF,9.10344827586207,20.06896551724138,0.46758620689655184,0.017275862068965416,0.10344827586206898,0.166999999999999,9.064344827586188,19.965517241379313,0.453999999999999,0.452999999999999,6.942000000000001,9.206896551724139,0.754,1.9655172413793103,7.13793103448276,9.10344827586207,1.9655172413793103,0.6206896551724138,2.0689655172413794,3.1034482758620694,4.03448275862069,25.13793103448276
9175,SG,6.2727272727272725,14.727272727272728,1.1645454545454546,0.156,0.5454545454545455,0.286,6.112363636363637,14.181818181818183,0.431,0.431,0.8345454545454547,1.090909090909091,0.765,0.8181818181818181,2.7272727272727275,3.545454545454546,1.6363636363636362,1.090909090909091,0.27272727272727276,1.9090909090909092,2.4545454545454546,13.636363636363637
7724,SG,2.88,8.64,0.47951999999999856,0.0,2.88,0.0,2.88,5.76,0.5,0.332999999999999,1.44,1.44,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2
11671,PF,7.9411764705882355,18.264705882352942,1.1673529411764705,1.6941176470588237,4.235294117647059,0.4,6.249176470588222,13.764705882352942,0.453999999999999,0.488,3.631235294117647,5.029411764705882,0.722,1.8529411764705883,3.7058823529411766,5.558823529411765,2.3823529411764706,1.0588235294117647,0.2647058823529412,2.6470588235294117,4.235294117647059,21.441176470588232
